Net Asset Value,Repurchase Price,Sale Price,NAV date
29.65,,,12-Apr-2022
29.71,,,13-Apr-2022
29.42,,,18-Apr-2022
29.06,,,19-Apr-2022
29.11,,,20-Apr-2022
29.46,,,21-Apr-2022
29.17,,,22-Apr-2022
28.73,,,25-Apr-2022
28.98,,,26-Apr-2022
28.7,,,27-Apr-2022
28.99,,,28-Apr-2022
28.67,,,29-Apr-2022
28.53,,,02-May-2022
28.12,,,04-May-2022
28.24,,,05-May-2022
27.95,,,06-May-2022
27.92,,,09-May-2022
27.54,,,10-May-2022
27.41,,,11-May-2022
26.99,,,12-May-2022
26.85,,,13-May-2022
26.99,,,16-May-2022
27.71,,,17-May-2022
27.71,,,18-May-2022
26.99,,,19-May-2022
27.55,,,20-May-2022
27.49,,,23-May-2022
27.13,,,24-May-2022
26.91,,,25-May-2022
27.18,,,26-May-2022
27.4,,,27-May-2022
27.89,,,30-May-2022
28.04,,,31-May-2022
27.97,,,01-Jun-2022
28.23,,,02-Jun-2022
28.1,,,03-Jun-2022
28.11,,,06-Jun-2022
27.99,,,07-Jun-2022
27.94,,,08-Jun-2022
28.08,,,09-Jun-2022
27.78,,,10-Jun-2022
27.03,,,13-Jun-2022
27.03,,,14-Jun-2022
26.94,,,15-Jun-2022
26.31,,,16-Jun-2022
26.13,,,17-Jun-2022
25.91,,,20-Jun-2022
26.42,,,21-Jun-2022
26.04,,,22-Jun-2022
26.3,,,23-Jun-2022
26.48,,,24-Jun-2022
26.88,,,27-Jun-2022
27.09,,,28-Jun-2022
27.05,,,29-Jun-2022
26.99,,,30-Jun-2022
26.86,,,01-Jul-2022
26.94,,,04-Jul-2022
26.9,,,05-Jul-2022
27,,,06-Jul-2022
27.32,,,07-Jul-2022
27.55,,,08-Jul-2022
27.44,,,11-Jul-2022
27.22,,,12-Jul-2022
27.13,,,13-Jul-2022
27.04,,,14-Jul-2022
27.13,,,15-Jul-2022
27.62,,,18-Jul-2022
27.76,,,19-Jul-2022
28.07,,,20-Jul-2022
28.3,,,21-Jul-2022
28.36,,,22-Jul-2022
28.31,,,25-Jul-2022
28.01,,,26-Jul-2022
28.24,,,27-Jul-2022
28.55,,,28-Jul-2022
29.07,,,29-Jul-2022
29.39,,,01-Aug-2022
29.32,,,02-Aug-2022
29.36,,,03-Aug-2022
29.42,,,04-Aug-2022
29.5,,,05-Aug-2022
29.69,,,08-Aug-2022
29.68,,,10-Aug-2022
29.82,,,11-Aug-2022
29.93,,,12-Aug-2022
30.08,,,16-Aug-2022
30.28,,,17-Aug-2022
30.22,,,18-Aug-2022
30.01,,,19-Aug-2022
29.64,,,22-Aug-2022
29.81,,,23-Aug-2022
29.9,,,24-Aug-2022
29.85,,,25-Aug-2022
29.97,,,26-Aug-2022
29.55,,,29-Aug-2022
30.15,,,30-Aug-2022
29.84,,,01-Sep-2022
29.86,,,02-Sep-2022
30.03,,,05-Sep-2022
30.03,,,06-Sep-2022
30.02,,,07-Sep-2022
30.28,,,08-Sep-2022
30.45,,,09-Sep-2022
30.61,,,12-Sep-2022
30.76,,,13-Sep-2022
30.62,,,14-Sep-2022
30.46,,,15-Sep-2022
29.92,,,16-Sep-2022
29.99,,,19-Sep-2022
30.3,,,20-Sep-2022
30.09,,,21-Sep-2022
29.98,,,22-Sep-2022
29.63,,,23-Sep-2022
29.16,,,26-Sep-2022
29.21,,,27-Sep-2022
29.15,,,28-Sep-2022
29.26,,,29-Sep-2022
29.54,,,30-Sep-2022
29.43,,,03-Oct-2022
29.85,,,04-Oct-2022
30,,,06-Oct-2022
30,,,07-Oct-2022
29.93,,,10-Oct-2022
29.54,,,11-Oct-2022
29.72,,,12-Oct-2022
29.66,,,13-Oct-2022
29.87,,,14-Oct-2022
30.01,,,17-Oct-2022
30.24,,,18-Oct-2022
30.16,,,19-Oct-2022
30.28,,,20-Oct-2022
30.37,,,21-Oct-2022
30.71,,,25-Oct-2022
30.93,,,27-Oct-2022
30.9,,,28-Oct-2022
31.23,,,31-Oct-2022
31.48,,,01-Nov-2022
31.41,,,02-Nov-2022
31.28,,,03-Nov-2022
31.26,,,04-Nov-2022
31.44,,,07-Nov-2022
31.31,,,09-Nov-2022
31.17,,,10-Nov-2022
31.55,,,11-Nov-2022
31.58,,,14-Nov-2022
31.72,,,15-Nov-2022
31.68,,,16-Nov-2022
31.58,,,17-Nov-2022
31.47,,,18-Nov-2022
31.37,,,21-Nov-2022
31.51,,,22-Nov-2022
31.59,,,23-Nov-2022
31.96,,,24-Nov-2022
32.03,,,25-Nov-2022
32.04,,,28-Nov-2022
32.08,,,29-Nov-2022
32.24,,,30-Nov-2022
32.38,,,01-Dec-2022
32.35,,,02-Dec-2022
32.43,,,05-Dec-2022
32.25,,,06-Dec-2022
32.1,,,07-Dec-2022
32.2,,,08-Dec-2022
31.85,,,09-Dec-2022
31.84,,,12-Dec-2022
32.05,,,13-Dec-2022
32.23,,,14-Dec-2022
31.94,,,15-Dec-2022
31.71,,,16-Dec-2022
31.9,,,19-Dec-2022
31.78,,,20-Dec-2022
31.57,,,21-Dec-2022
31.39,,,22-Dec-2022
30.81,,,23-Dec-2022
31.17,,,26-Dec-2022
31.4,,,27-Dec-2022
31.38,,,28-Dec-2022
31.52,,,29-Dec-2022
31.45,,,30-Dec-2022
31.65,,,02-Jan-2023
31.71,,,03-Jan-2023
31.44,,,04-Jan-2023
31.46,,,05-Jan-2023
31.21,,,06-Jan-2023
31.59,,,09-Jan-2023
31.42,,,10-Jan-2023
31.37,,,11-Jan-2023
31.43,,,12-Jan-2023
31.53,,,13-Jan-2023
31.52,,,16-Jan-2023
31.71,,,17-Jan-2023
31.91,,,18-Jan-2023
31.96,,,19-Jan-2023
31.86,,,20-Jan-2023
32.05,,,23-Jan-2023
32.01,,,24-Jan-2023
31.75,,,25-Jan-2023
31.4,,,27-Jan-2023
31.43,,,30-Jan-2023
31.57,,,31-Jan-2023
31.39,,,01-Feb-2023
31.44,,,02-Feb-2023
31.74,,,03-Feb-2023
31.62,,,06-Feb-2023
31.51,,,07-Feb-2023
31.7,,,08-Feb-2023
31.79,,,09-Feb-2023
31.79,,,10-Feb-2023
31.65,,,13-Feb-2023
31.74,,,14-Feb-2023
31.87,,,15-Feb-2023
32.06,,,16-Feb-2023
31.96,,,17-Feb-2023
31.93,,,20-Feb-2023
31.93,,,21-Feb-2023
31.61,,,22-Feb-2023
31.64,,,23-Feb-2023
31.59,,,24-Feb-2023
31.48,,,27-Feb-2023
31.35,,,28-Feb-2023
31.65,,,01-Mar-2023
31.5,,,02-Mar-2023
31.74,,,03-Mar-2023
31.98,,,06-Mar-2023
32.09,,,08-Mar-2023
31.94,,,09-Mar-2023
31.75,,,10-Mar-2023
31.39,,,13-Mar-2023
31.27,,,14-Mar-2023
31.23,,,15-Mar-2023
31.23,,,16-Mar-2023
31.37,,,17-Mar-2023
31.17,,,20-Mar-2023
31.29,,,21-Mar-2023
31.33,,,22-Mar-2023
31.31,,,23-Mar-2023
31.12,,,24-Mar-2023
31.05,,,27-Mar-2023
30.93,,,28-Mar-2023
31.24,,,29-Mar-2023
31.57,,,31-Mar-2023
31.81,,,03-Apr-2023
31.93,,,05-Apr-2023
31.97,,,06-Apr-2023
32.1,,,10-Apr-2023
32.2,,,11-Apr-2023
32.24,,,12-Apr-2023
32.17,,,13-Apr-2023
31.88,,,17-Apr-2023
31.96,,,18-Apr-2023
31.8,,,19-Apr-2023
31.88,,,20-Apr-2023
31.8,,,21-Apr-2023
31.96,,,24-Apr-2023
31.98,,,25-Apr-2023
32.12,,,26-Apr-2023
32.26,,,27-Apr-2023
32.49,,,28-Apr-2023
32.68,,,02-May-2023
32.59,,,03-May-2023
32.76,,,04-May-2023
32.56,,,05-May-2023
32.84,,,08-May-2023
32.81,,,09-May-2023
32.96,,,10-May-2023
32.97,,,11-May-2023
32.93,,,12-May-2023
33.14,,,15-May-2023
33.06,,,16-May-2023
32.94,,,17-May-2023
32.87,,,18-May-2023
32.96,,,19-May-2023
33.1,,,22-May-2023
33.11,,,23-May-2023
33.12,,,24-May-2023
33.17,,,25-May-2023
33.36,,,26-May-2023
33.45,,,29-May-2023
33.47,,,30-May-2023
33.48,,,31-May-2023
33.43,,,01-Jun-2023
33.6,,,02-Jun-2023
33.79,,,05-Jun-2023
33.79,,,06-Jun-2023
33.97,,,07-Jun-2023
33.92,,,08-Jun-2023
33.87,,,09-Jun-2023
34.05,,,12-Jun-2023
34.12,,,13-Jun-2023
34.16,,,14-Jun-2023
34.14,,,15-Jun-2023
34.29,,,16-Jun-2023
34.21,,,19-Jun-2023
34.3,,,20-Jun-2023
34.43,,,21-Jun-2023
34.28,,,22-Jun-2023
34.18,,,23-Jun-2023
34.26,,,26-Jun-2023
34.46,,,27-Jun-2023
34.65,,,28-Jun-2023
34.98,,,30-Jun-2023
35.07,,,03-Jul-2023
35.12,,,04-Jul-2023
35.26,,,05-Jul-2023
35.47,,,06-Jul-2023
35.24,,,07-Jul-2023
35.17,,,10-Jul-2023
35.39,,,11-Jul-2023
35.35,,,12-Jul-2023
35.28,,,13-Jul-2023
35.54,,,14-Jul-2023
35.65,,,17-Jul-2023
35.64,,,18-Jul-2023
35.83,,,19-Jul-2023
36.01,,,20-Jul-2023
35.93,,,21-Jul-2023
36.04,,,24-Jul-2023
36.14,,,25-Jul-2023
36.3,,,26-Jul-2023
36.31,,,27-Jul-2023
36.43,,,28-Jul-2023
36.84,,,31-Jul-2023
36.95,,,01-Aug-2023
36.51,,,02-Aug-2023
36.38,,,03-Aug-2023
36.47,,,04-Aug-2023
36.56,,,07-Aug-2023
36.52,,,08-Aug-2023
36.62,,,09-Aug-2023
36.55,,,10-Aug-2023
36.43,,,11-Aug-2023
36.39,,,14-Aug-2023
36.52,,,16-Aug-2023
36.46,,,17-Aug-2023
36.41,,,18-Aug-2023
36.64,,,21-Aug-2023
36.76,,,22-Aug-2023
36.87,,,23-Aug-2023
36.82,,,24-Aug-2023
36.62,,,25-Aug-2023
36.76,,,28-Aug-2023
36.89,,,29-Aug-2023
36.91,,,30-Aug-2023
36.85,,,31-Aug-2023
37.35,,,01-Sep-2023
37.68,,,04-Sep-2023
37.83,,,05-Sep-2023
37.85,,,06-Sep-2023
38.08,,,07-Sep-2023
38.37,,,08-Sep-2023
38.63,,,11-Sep-2023
38.16,,,12-Sep-2023
38.43,,,13-Sep-2023
38.61,,,14-Sep-2023
38.71,,,15-Sep-2023
