,NAV,date
102,15.72,21-Feb-2019
103,15.84,22-Feb-2019
104,15.93,25-Feb-2019
105,15.86,26-Feb-2019
106,15.82,27-Feb-2019
107,15.93,28-Feb-2019
108,16.18,01-Mar-2019
109,16.52,05-Mar-2019
110,16.71,06-Mar-2019
111,16.66,07-Mar-2019
112,16.65,08-Mar-2019
113,16.86,11-Mar-2019
114,16.95,12-Mar-2019
115,16.9,13-Mar-2019
116,16.92,14-Mar-2019
117,17.04,15-Mar-2019
118,17.1,18-Mar-2019
119,17.33,19-Mar-2019
120,17.17,20-Mar-2019
121,17.24,22-Mar-2019
122,17.16,25-Mar-2019
123,17.3,26-Mar-2019
124,17.27,27-Mar-2019
125,17.41,28-Mar-2019
126,17.52,29-Mar-2019
127,17.59,01-Apr-2019
128,17.55,02-Apr-2019
129,17.41,03-Apr-2019
130,17.33,04-Apr-2019
131,17.43,05-Apr-2019
132,17.48,08-Apr-2019
133,17.58,09-Apr-2019
134,17.54,10-Apr-2019
135,17.59,11-Apr-2019
136,17.72,12-Apr-2019
137,17.71,15-Apr-2019
138,17.74,16-Apr-2019
139,17.59,18-Apr-2019
140,17.41,22-Apr-2019
141,17.43,23-Apr-2019
142,17.53,24-Apr-2019
143,17.44,25-Apr-2019
144,17.53,26-Apr-2019
145,17.49,30-Apr-2019
146,17.34,02-May-2019
147,17.32,03-May-2019
148,17.26,06-May-2019
149,17.24,07-May-2019
150,17.07,08-May-2019
151,17.04,09-May-2019
152,16.95,10-May-2019
153,16.72,13-May-2019
154,16.81,14-May-2019
155,16.75,15-May-2019
156,16.92,16-May-2019
157,17.01,17-May-2019
158,17.39,20-May-2019
159,17.26,21-May-2019
160,17.27,22-May-2019
161,17.06,23-May-2019
162,17.37,24-May-2019
163,17.7,27-May-2019
164,17.74,28-May-2019
165,17.59,29-May-2019
166,17.67,30-May-2019
167,17.62,31-May-2019
168,17.64,03-Jun-2019
169,17.63,04-Jun-2019
170,17.47,06-Jun-2019
171,17.43,07-Jun-2019
172,17.36,10-Jun-2019
173,17.4,11-Jun-2019
174,17.3,12-Jun-2019
175,17.24,13-Jun-2019
176,17.16,14-Jun-2019
177,16.97,17-Jun-2019
178,17.02,18-Jun-2019
179,16.96,19-Jun-2019
180,17.06,20-Jun-2019
181,17.06,21-Jun-2019
182,17.07,24-Jun-2019
183,17.2,25-Jun-2019
184,17.25,26-Jun-2019
185,17.26,27-Jun-2019
186,17.24,28-Jun-2019
187,17.19,01-Jul-2019
188,17.19,02-Jul-2019
189,17.16,03-Jul-2019
190,17.2,04-Jul-2019
191,16.93,05-Jul-2019
192,16.64,08-Jul-2019
193,16.71,09-Jul-2019
194,16.63,10-Jul-2019
195,16.68,11-Jul-2019
196,16.65,12-Jul-2019
197,16.67,15-Jul-2019
198,16.77,16-Jul-2019
199,16.82,17-Jul-2019
200,16.67,18-Jul-2019
201,16.55,19-Jul-2019
202,16.5,22-Jul-2019
203,16.58,23-Jul-2019
204,16.48,24-Jul-2019
205,16.42,25-Jul-2019
206,16.39,26-Jul-2019
207,16.26,29-Jul-2019
208,16.09,30-Jul-2019
209,16.19,31-Jul-2019
210,16.05,01-Aug-2019
211,15.89,02-Aug-2019
212,15.76,05-Aug-2019
213,15.87,06-Aug-2019
214,15.77,07-Aug-2019
215,15.92,08-Aug-2019
216,15.93,09-Aug-2019
217,15.61,13-Aug-2019
218,15.68,14-Aug-2019
219,15.64,16-Aug-2019
220,15.68,19-Aug-2019
221,15.66,20-Aug-2019
222,15.52,21-Aug-2019
223,15.32,22-Aug-2019
224,15.5,23-Aug-2019
225,15.72,26-Aug-2019
226,15.81,27-Aug-2019
227,15.79,28-Aug-2019
228,15.79,29-Aug-2019
229,15.88,30-Aug-2019
230,15.68,03-Sep-2019
231,15.77,04-Sep-2019
232,15.92,05-Sep-2019
233,16.13,06-Sep-2019
234,16.14,09-Sep-2019
235,16.17,11-Sep-2019
236,16.02,12-Sep-2019
237,16.18,13-Sep-2019
238,16.1,16-Sep-2019
239,15.84,17-Sep-2019
240,15.91,18-Sep-2019
241,15.74,19-Sep-2019
242,16.11,20-Sep-2019
243,16.5,23-Sep-2019
244,16.4,24-Sep-2019
245,16.23,25-Sep-2019
246,16.33,26-Sep-2019
247,16.36,27-Sep-2019
248,16.38,30-Sep-2019
249,16.22,01-Oct-2019
250,16.3,03-Oct-2019
251,16.2,04-Oct-2019
252,16.08,07-Oct-2019
253,16.07,09-Oct-2019
254,15.94,10-Oct-2019
255,15.96,11-Oct-2019
256,15.97,14-Oct-2019
257,15.98,15-Oct-2019
258,16.09,16-Oct-2019
259,16.17,17-Oct-2019
260,16.31,18-Oct-2019
261,16.19,22-Oct-2019
262,16.21,23-Oct-2019
263,16.04,24-Oct-2019
264,16.05,25-Oct-2019
265,16.27,29-Oct-2019
266,16.49,30-Oct-2019
267,16.72,31-Oct-2019
268,16.73,01-Nov-2019
269,16.78,04-Nov-2019
270,16.72,05-Nov-2019
271,16.74,06-Nov-2019
272,16.75,07-Nov-2019
273,16.49,08-Nov-2019
274,16.51,11-Nov-2019
275,16.29,13-Nov-2019
276,16.31,14-Nov-2019
277,16.27,15-Nov-2019
278,16.31,18-Nov-2019
279,16.38,19-Nov-2019
280,16.45,20-Nov-2019
281,16.29,21-Nov-2019
282,16.29,22-Nov-2019
283,16.45,25-Nov-2019
284,16.35,26-Nov-2019
285,16.39,27-Nov-2019
286,16.49,28-Nov-2019
287,16.52,29-Nov-2019
288,16.36,02-Dec-2019
289,16.25,03-Dec-2019
290,16.5,04-Dec-2019
291,16.47,05-Dec-2019
292,16.23,06-Dec-2019
293,16.22,09-Dec-2019
294,15.98,10-Dec-2019
295,15.99,11-Dec-2019
296,16.22,12-Dec-2019
297,16.32,13-Dec-2019
298,16.31,16-Dec-2019
299,16.45,17-Dec-2019
300,16.45,18-Dec-2019
301,16.49,19-Dec-2019
302,16.48,20-Dec-2019
303,16.48,23-Dec-2019
304,16.48,24-Dec-2019
305,16.39,26-Dec-2019
306,16.54,27-Dec-2019
307,16.58,30-Dec-2019
308,16.59,31-Dec-2019
309,16.61,01-Jan-2020
310,16.85,02-Jan-2020
311,16.86,03-Jan-2020
